1.372730,-0.191076,-0.038571,-0.030253,0.946709,0.529467,0.254860,-0.062821,-0.031471,0.151076,0.091000,0.129097
1.170968,0.271351,0.513443,0.071132,0.781174,0.337732,0.335062,0.088211,0.065130,0.007202,0.120011,0.222450
1.714094,0.311633,0.184417,-0.630265,0.686572,0.320479,0.168828,0.214798,-0.021498,-0.001572,0.036236,0.000166
1.922433,-0.000663,-0.035646,-0.242147,0.659516,0.287938,0.307899,0.067559,0.016766,0.091929,-0.049045,0.061896
1.651071,0.109634,0.469675,-0.228814,0.549930,0.218471,0.104306,0.168585,0.156753,0.231869,0.162345,0.114073
1.122065,-0.116069,0.675998,0.009444,0.449670,0.119611,0.235210,0.168987,0.101573,0.150420,0.072625,0.132594
1.698847,0.420595,0.672272,0.031222,0.596932,-0.007693,-0.039432,-0.052891,-0.047169,0.046043,0.005701,0.077594
1.510512,0.029354,0.600777,-0.073579,0.360598,0.019075,0.062385,0.043177,-0.007931,0.046527,-0.044059,0.051087
2.280684,0.304553,0.653896,0.004580,0.758661,-0.019431,-0.561819,-0.116014,-0.145164,-0.128819,-0.129841,-0.242697
1.797848,0.543159,0.795657,0.305268,0.835315,0.100902,-0.162970,-0.062736,-0.090848,-0.090497,-0.004165,-0.097657
2.114980,0.411381,0.270592,-0.303341,0.688299,-0.142388,-0.256378,0.003013,-0.117279,0.015006,-0.080196,-0.079467
2.273397,0.107281,0.199621,-0.145144,0.435525,-0.124930,-0.074018,-0.018377,-0.124153,-0.016670,-0.174523,-0.077780
-0.390452,-0.437416,0.911377,-0.166499,0.120704,0.008018,0.272201,0.151767,0.078905,0.037560,-0.012684,0.023369
-0.566713,-0.342315,0.668211,-0.493769,0.036431,-0.059384,0.100010,-0.033194,0.006231,0.010387,-0.107591,0.007661
-0.447554,-1.145778,0.288787,-0.137437,0.551677,-0.054126,-0.080227,-0.042696,-0.024906,0.085658,-0.019985,0.009451
0.885219,-0.286130,0.395222,-0.230088,0.160652,-0.147092,0.047451,-0.029434,-0.039769,0.030235,-0.034284,0.037821
